Company,Location,Job_Title,Experience_Level,Skills_Required,CTC(LPA),Hiring_Type,Source,Post_Date,Apply_Link
Tech Mahindra,Noida,Software Engineer,0-2 yrs,"AWS, Azure, DevOps",9.8,Internship,Glassdoor,2025-10-06,https://www.example.com/apply/tech mahindra/Software-Engineer
TCS,Kolkata,DevOps Engineer,5-10 yrs,"Customer Support, Voice Process",7.5,Internship,Indeed,2025-10-17,https://www.example.com/apply/tcs/DevOps-Engineer
Infosys,Bengaluru,Business Analyst,2-5 yrs,Automation Testing,10.0,Internship,Naukri,2025-09-23,https://www.example.com/apply/infosys/Business-Analyst
Cognizant,Noida,Test Engineer,0-2 yrs,"Linux, Networking, Troubleshooting",13.0,Full-time,Glassdoor,2025-09-12,https://www.example.com/apply/cognizant/Test-Engineer
TCS,Ahmedabad,Cloud Engineer,5-10 yrs,"AI/ML, Deep Learning",9.4,Full-time,LinkedIn,2025-09-04,https://www.example.com/apply/tcs/Cloud-Engineer
TCS,Noida,Software Engineer,2-5 yrs,"Excel, Tableau, SQL",15.5,Full-time,LinkedIn,2025-09-30,https://www.example.com/apply/tcs/Software-Engineer
Cognizant,Jaipur,Technical Support,0-2 yrs,"Excel, Tableau, SQL",12.6,Internship,Glassdoor,2025-09-23,https://www.example.com/apply/cognizant/Technical-Support
Capgemini,Pune,Software Engineer,Fresher,"Excel, Tableau, SQL",14.8,Internship,Naukri,2025-09-18,https://www.example.com/apply/capgemini/Software-Engineer
Accenture,Gurugram,Software Engineer,0-2 yrs,"JavaScript, React, Node.js",13.8,Contract,Naukri,2025-10-18,https://www.example.com/apply/accenture/Software-Engineer
HCL,Noida,Test Engineer,0-2 yrs,"Customer Support, Voice Process",5.9,Full-time,Naukri,2025-09-07,https://www.example.com/apply/hcl/Test-Engineer
Wipro,Kolkata,Cloud Engineer,2-5 yrs,"Excel, Tableau, SQL",8.7,Full-time,LinkedIn,2025-09-22,https://www.example.com/apply/wipro/Cloud-Engineer
TCS,Kolkata,DevOps Engineer,2-5 yrs,"AWS, Azure, DevOps",9.7,Internship,Indeed,2025-10-11,https://www.example.com/apply/tcs/DevOps-Engineer
Tech Mahindra,Kolkata,Cloud Engineer,Fresher,"Excel, Tableau, SQL",7.6,Internship,Indeed,2025-09-26,https://www.example.com/apply/tech mahindra/Cloud-Engineer
Capgemini,Kolkata,System Analyst,5-10 yrs,"AWS, Azure, DevOps",12.4,Full-time,Glassdoor,2025-09-09,https://www.example.com/apply/capgemini/System-Analyst
Infosys,Chennai,Data Analyst,5-10 yrs,"Excel, Tableau, SQL",5.2,Full-time,Naukri,2025-10-10,https://www.example.com/apply/infosys/Data-Analyst
TCS,Pune,Data Analyst,Fresher,"Excel, Tableau, SQL",11.8,Internship,Glassdoor,2025-09-12,https://www.example.com/apply/tcs/Data-Analyst
Infosys,Ahmedabad,DevOps Engineer,Fresher,"Java, Spring Boot",8.1,Internship,Naukri,2025-09-29,https://www.example.com/apply/infosys/DevOps-Engineer
Wipro,Chennai,Cloud Engineer,0-2 yrs,"Linux, Networking, Troubleshooting",6.0,Internship,Glassdoor,2025-09-23,https://www.example.com/apply/wipro/Cloud-Engineer
Tech Mahindra,Chennai,Technical Support,Fresher,"AI/ML, Deep Learning",11.6,Full-time,Naukri,2025-10-13,https://www.example.com/apply/tech mahindra/Technical-Support
Cognizant,Chennai,Support Executive,5-10 yrs,"Python, SQL, Power BI",6.7,Full-time,Glassdoor,2025-09-01,https://www.example.com/apply/cognizant/Support-Executive
Wipro,Hyderabad,Business Analyst,Fresher,"AWS, Azure, DevOps",9.4,Contract,Naukri,2025-10-20,https://www.example.com/apply/wipro/Business-Analyst
Tech Mahindra,Pune,Test Engineer,5-10 yrs,"JavaScript, React, Node.js",12.2,Full-time,LinkedIn,2025-10-05,https://www.example.com/apply/tech mahindra/Test-Engineer
Cognizant,Ahmedabad,System Analyst,0-2 yrs,"Java, Spring Boot",9.5,Contract,Glassdoor,2025-09-26,https://www.example.com/apply/cognizant/System-Analyst
HCL,Bengaluru,Cloud Engineer,0-2 yrs,"Java, Spring Boot",14.8,Contract,Indeed,2025-09-01,https://www.example.com/apply/hcl/Cloud-Engineer
TCS,Pune,Software Engineer,Fresher,Automation Testing,18.4,Full-time,Naukri,2025-09-14,https://www.example.com/apply/tcs/Software-Engineer
Wipro,Kolkata,Data Analyst,0-2 yrs,"Customer Support, Voice Process",14.7,Contract,Naukri,2025-09-26,https://www.example.com/apply/wipro/Data-Analyst
HCL,Mumbai,Support Executive,Fresher,"AI/ML, Deep Learning",11.8,Full-time,Glassdoor,2025-10-19,https://www.example.com/apply/hcl/Support-Executive
IBM,Bengaluru,Process Associate,5-10 yrs,"Python, SQL, Power BI",13.6,Internship,Glassdoor,2025-10-05,https://www.example.com/apply/ibm/Process-Associate
Accenture,Pune,DevOps Engineer,Fresher,"Linux, Networking, Troubleshooting",15.6,Full-time,Indeed,2025-10-06,https://www.example.com/apply/accenture/DevOps-Engineer
TCS,Chennai,Software Engineer,5-10 yrs,Automation Testing,11.4,Contract,Indeed,2025-10-08,https://www.example.com/apply/tcs/Software-Engineer
Tech Mahindra,Kolkata,DevOps Engineer,2-5 yrs,"AWS, Azure, DevOps",17.4,Contract,LinkedIn,2025-09-08,https://www.example.com/apply/tech mahindra/DevOps-Engineer
LTIMindtree,Mumbai,Technical Support,Fresher,"Java, Spring Boot",18.6,Contract,LinkedIn,2025-09-11,https://www.example.com/apply/ltimindtree/Technical-Support
HCL,Gurugram,Process Associate,5-10 yrs,"Customer Support, Voice Process",3.5,Internship,LinkedIn,2025-09-23,https://www.example.com/apply/hcl/Process-Associate
Infosys,Bengaluru,Technical Support,2-5 yrs,"Python, SQL, Power BI",10.7,Full-time,Indeed,2025-09-18,https://www.example.com/apply/infosys/Technical-Support
Cognizant,Jaipur,Software Engineer,5-10 yrs,"Python, SQL, Power BI",10.9,Contract,Glassdoor,2025-09-30,https://www.example.com/apply/cognizant/Software-Engineer
Infosys,Mumbai,DevOps Engineer,5-10 yrs,"AI/ML, Deep Learning",3.8,Contract,Indeed,2025-09-28,https://www.example.com/apply/infosys/DevOps-Engineer
Wipro,Mumbai,Test Engineer,Fresher,Automation Testing,10.0,Internship,Naukri,2025-09-29,https://www.example.com/apply/wipro/Test-Engineer
Infosys,Kolkata,Test Engineer,Fresher,"Customer Support, Voice Process",3.1,Full-time,Naukri,2025-10-06,https://www.example.com/apply/infosys/Test-Engineer
